asset_id,creator,total,tx_type,block
720143552,7KID4TLL54U6MH6GPY56HTBUM37AOTKM3XCNFEIB42E4OVPCAYL4HLCH5Y,1,acfg,20726722
720143386,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726720
720142552,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726711
720141395,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726701
720139885,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726692
720139350,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726683
720138680,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726673
720137664,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726664
720137189,YSBYGGDFFQK34FBWJFMKQWSVELXICKEDYTMSLQQMYGWFMW5GWZG3NKIYAI,1,acfg,20726661
720137132,UULW4NF6CPSV5GRNCKQKO2X5GVPMTAIFEYVWNNBAD4A776BSZ3TLN5HJSQ,1,acfg,20726660
720136436,TCHKTHABMQERNGJX7QX2YWCOLJFDDLGJJ4BGOPFSCE3CLBUHD54WNSYNYI,1,acfg,20726656
720136385,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726655
720136210,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726651
720135861,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726645
720135285,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726634
720134722,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726624
720134076,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726615
720133961,INYNE3QRUG63Q5EX3JTIOJ6M2O4ZKFDQUNNHJ7CVRWH32TKJJMBO2DYY5M,1,acfg,20726614
720133396,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726604
720132759,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726594
720132475,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726589
720132283,INYNE3QRUG63Q5EX3JTIOJ6M2O4ZKFDQUNNHJ7CVRWH32TKJJMBO2DYY5M,1,acfg,20726585
720132284,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726585
720131714,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726576
720131011,N2NOGRN34SUNNHPYRHPK562KKV43AKZF2TEZCFSSLXABAQVTPJFYAMD53M,1,acfg,20726565
720129643,CI7Z43A6KNOWHVUEDW6H2IHB3N7KSWPXDS3QN3VFCJY5RTHA4QD5ZIM7TQ,1,acfg,20726541
720128911,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20726525
720128620,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726519
720127400,H4IG6WSPCL7MZSW5SGSUAYXYHBXCIRRY6IGA4PGZ7MH5NJLKHBDDGHA2YY,1,acfg,20726500
720124172,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726446
720123591,ODZA37W5INTR3WGQA7CRGODU3RVGWU5PHRY3H533ANCE73GJGV27DT7BB4,1,acfg,20726432
720122567,ODZA37W5INTR3WGQA7CRGODU3RVGWU5PHRY3H533ANCE73GJGV27DT7BB4,1,acfg,20726414
720116356,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20726319
720115683,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20726307
720115584,INYNE3QRUG63Q5EX3JTIOJ6M2O4ZKFDQUNNHJ7CVRWH32TKJJMBO2DYY5M,5000,acfg,20726304
720115455,5Y72ZG3N2THECAYT3ADFZPIDV4LSKVDYPSNNOC44PPA6FVBEIW4JOQFOQ4,1,acfg,20726301
720112721,H4IG6WSPCL7MZSW5SGSUAYXYHBXCIRRY6IGA4PGZ7MH5NJLKHBDDGHA2YY,1,acfg,20726239
720112374,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20726231
720110279,UFOAAC6CYFIXOGGMAIPGWTOLKKFKLXFYY5Q5OJQSEF3RS52Y4LZF2W3BT4,1,acfg,20726186
720109132,H4IG6WSPCL7MZSW5SGSUAYXYHBXCIRRY6IGA4PGZ7MH5NJLKHBDDGHA2YY,1,acfg,20726163
720108762,XM4BDBFCTKF6W53HML2PXOW2SR7HQ2KFA5X7ZKL2QTZHAOIIIFW2GB3EOA,1,acfg,20726156
720108138,3WZQ2LTODQLYFPKNP35DUILYHRK5QZP2EDCQDTJQIUF5IHGNKHHGGTUS7M,1,acfg,20726147
720106723,3WZQ2LTODQLYFPKNP35DUILYHRK5QZP2EDCQDTJQIUF5IHGNKHHGGTUS7M,1,acfg,20726118
720106228,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726108
720105040,7KID4TLL54U6MH6GPY56HTBUM37AOTKM3XCNFEIB42E4OVPCAYL4HLCH5Y,1,acfg,20726083
720104736,26G5S42NPWBR4VF5EDW6EO4MPG4J5TUG5OLUODU3J5RCEPTJAE623YOVZQ,1,acfg,20726078
720103433,3WZQ2LTODQLYFPKNP35DUILYHRK5QZP2EDCQDTJQIUF5IHGNKHHGGTUS7M,1,acfg,20726052
720103242,FKTURQW6UORPH3W7EWRTVVXEU4QZWZHUJC35ZM7CKBMXML7YEBZIXELJDU,1,acfg,20726048
720102801,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20726036
720099798,W2UZJKRJ4VICREYM5KM5LCKEADMSJGSWASJ6MACPWFWT3PT6RDKZ32TQ5E,1,acfg,20725974
